kepid, skygroup
757099, 84
892376, 84
893507, 84
893647, 84
1026032, 84
1026133, 84
1026895, 84
1028018, 84
1028246, 84
1160891, 84
1162150, 84
1162345, 84
1292087, 84
1292493, 84
1293031, 84
1294670, 84
1294756, 84
1295276, 84
1296164, 84
1429653, 84
1430590, 84
1431316, 84
1431794, 84
1432149, 84
1432214, 84
1432789, 84
1433899, 84
1433962, 84
1433980, 84
1434660, 84
1434800, 84
1435448, 84
1436265, 84
1570349, 84
1570924, 84
1571511, 84
1571717, 84
1572114, 84
1572802, 84
1572948, 84
1573138, 84
1573174, 84
1573867, 84
1574792, 84
1575977, 84
1576115, 84
1576144, 84
1577221, 84
1577912, 84
1717528, 84
1717722, 84
1718594, 84
1718828, 84
1718958, 84
1720673, 84
1722506, 84
1724719, 84
1725193, 83
1726231, 83
1849235, 71
1864041, 84
1864748, 84
1865042, 84
1865567, 84
1866924, 84
1869607, 84
1870480, 84
1870849, 84
1871056, 84
1871438, 84
1872262, 83
1872340, 83
1872885, 83
1872909, 83
1872948, 83
1873198, 83
1873513, 83
1873543, 83
1995732, 71
1996180, 71
1996679, 71
2010152, 84
2010607, 84
2011424, 84
2012821, 84
2013305, 84
2013754, 84
2014991, 84
2017224, 84
2017470, 84
2018685, 83
2019076, 83
2021440, 83
2140360, 71
2140389, 71
2141938, 71
2142183, 71
2142730, 71
2155869, 84
2157247, 84
2157489, 84
2159486, 84
2159700, 84
2161623, 84
2162635, 84
2162904, 83
2162994, 83
2164169, 83
2164791, 83
2165352, 83
2166200, 83
2166206, 83
2166218, 83
2167062, 83
2167600, 83
2167890, 83
2168321, 83
2168333, 83
2168420, 83
2168638, 83
2283703, 71
2285420, 71
2285548, 71
2297739, 81
2299543, 84
2300165, 84
2300319, 84
2300529, 84
2300603, 84
2302548, 84
2302624, 84
2303102, 84
2303365, 84
2304235, 84
2304566, 84
2304604, 84
2305372, 83
2305543, 83
2306463, 83
2306740, 83
2307199, 83
2307206, 83
2307249, 83
2307415, 83
2307796, 83
2308761, 83
2308957, 83
2309404, 83
2309579, 83
2309585, 83
2309587, 83
2309719, 83
2309910, 83
2311004, 83
2422539, 71
2425031, 71
2425185, 71
2436324, 81
2436378, 81
2436450, 81
2436635, 81
2436954, 81
2437060, 81
2437112, 81
2437149, 81
2437209, 81
2437222, 81
2437317, 81
2437452, 81
2437505, 81
2437783, 81
2438061, 81
2438062, 81
2438070, 81
2438114, 81
2438151, 81
2438264, 81
2438490, 81
2438502, 81
2439144, 81
2439211, 81
2439660, 81
2440757, 4
2441151, 84
2441161, 84
2441495, 84
2441728, 84
2442084, 84
2442359, 84
2442448, 84
2442654, 84
2442692, 84
2442714, 84
2442866, 84
2443827, 84
2444412, 84
2445134, 84
2445154, 84
2445298, 84
2445385, 83
2445975, 83
2446113, 83
2446623, 83
2447707, 83
2448505, 83
2449074, 83
2449090, 83
2449101, 83
2449431, 83
2449818, 83
2450944, 83
2451491, 83
2452010, 83
2452185, 83
2452439, 83
2452440, 83
2452450, 83
2452977, 83
2554989, 71
2556639, 71
2557335, 71
2557555, 71
2557669, 71
2557816, 71
2558363, 71
2558370, 71
